,Explained Variance,Max Error,MAE,MSE,MSLE,Median AE,MAPE,R2 Score
LinearRegression,0.4554925102890147,154.49337473788214,42.79409467959993,2900.1936284934804,0.17696674535345114,37.98819982141086,0.3749982636756112,0.4526027629719196
Ridge_alpha0.1,0.46297266076467025,144.48751430762215,42.99693214159653,2856.4868876706546,0.16843041182453683,38.971631641039636,0.37695768643580885,0.4608521946411924
Ridge_alpha1.0,0.4192074171103455,134.40591705148103,46.13885766697454,3077.41593882723,0.18477670795757445,44.852713098892394,0.4256929162727148,0.41915292635986545
Ridge_alpha10,0.1682225795945923,153.1568347173086,58.030756410038286,4443.95263666302,0.26883167002893693,56.65968574294885,0.564225351108509,0.161225867509881
RF_n100_d10,0.43884131335777377,151.58576845376842,44.382596979146136,2974.1961704738605,0.18226900882335884,38.990691593201376,0.4023230814116538,0.43863514832194295
RF_n200_d20,0.4408292055503106,150.06,44.26286516853933,2962.7366587078654,0.182160064725609,37.879999999999995,0.40011463537573116,0.44079807462340337
RF_n300_dNone,0.43416508487928274,149.53333333333333,44.578352059925095,2998.340932084894,0.18339495585862767,40.373333333333335,0.401942888711771,0.4340779437047302
RF_n500_d30,0.43505459696968973,147.282,44.42476404494382,2993.2968526741574,0.18269359580100863,38.668000000000006,0.4003202590741713,0.43502998880463684
SVR_C1_g0.01,0.0004978164182680711,168.0596001410546,62.718739721836435,5310.315350736518,0.2923118023589913,57.92401831686368,0.5712982157788421,-0.002295819900462792
SVR_C10_g0.1,0.046530750990914194,167.62199331806158,61.203221225416385,5073.3752081737,0.27895716671767734,56.65590619985633,0.5538571518366106,0.042425462880680054
SVR_C100_g0.1,0.29012079285726533,156.2543431801875,52.21405397175593,3784.2866711357137,0.21246689528114304,50.69577653132825,0.4668255182605309,0.2857345635305266
SVR_linear,0.17870428373744662,166.1310016980842,56.56124248042467,4419.792730685218,0.23814430269332315,55.05226841309161,0.4954404915051881,0.16578593055159485
